Family,collection_number,Species,WL,SL,hwi
Calcariidae,102172,Calcarius lapponicus,73,32,56.16438356
Calcariidae,108016,Calcarius lapponicus,68,32,52.94117647
Calcariidae,136347,Calcarius lapponicus,75,39,48
Calcariidae,158305,Calcarius lapponicus,70,40,42.85714286
Calcariidae,163830,Calcarius lapponicus,68.5,41.5,39.41605839
Calcariidae,163836,Calcarius ornatus,62,33,46.77419355
Calcariidae,112214,Calcarius ornatus,62.5,42.5,32
Calcariidae,14110,Calcarius ornatus,63.5,39.5,37.79527559
Calcariidae,14127,Calcarius ornatus,73.5,42.5,42.17687075
Calcariidae,163835,Calcarius ornatus,69,40.5,41.30434783
Calcariidae,82179,Calcarius pictus,78,31,60.25641026
Calcariidae,110711,Calcarius pictus,80,30,62.5
Calcariidae,110511,Calcarius pictus,75,38.5,48.66666667
Calcariidae,82184,Calcarius pictus,75,40,46.66666667
Calcariidae,158553,Calcarius pictus,81.5,45,44.78527607
Calcariidae,111641,Plectrophenax hyperboreus,90,49,45.55555556
Calcariidae,100901,Plectrophenax hyperboreus,89.5,48.5,45.81005587
Calcariidae,111642,Plectrophenax hyperboreus,85,48.5,42.94117647
Calcariidae,111643,Plectrophenax hyperboreus,88.5,41.5,53.10734463
Calcariidae,10363,Plectrophenax nivalis,78,31,60.25641026
Calcariidae,7674,Plectrophenax nivalis,80,30,62.5
Calcariidae,122718,Plectrophenax nivalis,81.5,45,44.78527607
Calcariidae,119286,Plectrophenax nivalis,75,40,46.66666667
Calcariidae,122691,Plectrophenax nivalis,75,38.5,48.66666667
Calcariidae,12024,Rhynchophanes mccownii,70,35,50
Calcariidae,112231,Rhynchophanes mccownii,78.5,35.5,54.77707006
Calcariidae,14140,Rhynchophanes mccownii,72,40,44.44444444
Calcariidae,12021,Rhynchophanes mccownii,70.5,45.5,35.46099291
Calcariidae,163849,Rhynchophanes mccownii,74.5,33.5,55.03355705
Calyptophilidae,120576,Calyptophilus frugivorus,80,69,13.75
Calyptophilidae,91575,Calyptophilus frugivorus,70,69.5,0.714285714
Calyptophilidae,120575,Calyptophilus frugivorus,57.5,47,18.26086957
Calyptophilidae,915761,Calyptophilus frugivorus,69,62,10.14492754
Cardinalidae,134507,Amaurospiza concolor,50,41.5,17
Cardinalidae,136526,Amaurospiza moesta,61.5,38.5,37.39837398
Cardinalidae,149872,Cardinalis cardinalis,83,60.5,27.10843373
Cardinalidae,151841,Cardinalis cardinalis,79.5,56.5,28.93081761
Cardinalidae,152328,Cardinalis cardinalis,79.5,56.5,28.93081761
Cardinalidae,152564,Cardinalis cardinalis,73.5,57,22.44897959
Cardinalidae,154064,Cardinalis cardinalis,81.5,54,33.74233129
Cardinalidae,36632,Cardinalis phoeniceus,78.5,56,28.66242038
Cardinalidae,45497,Cardinalis phoeniceus,68,50,26.47058824
Cardinalidae,45524,Cardinalis phoeniceus,66,55,16.66666667
Cardinalidae,45498,Cardinalis phoeniceus,70,58.5,16.42857143
Cardinalidae,45563,Cardinalis phoeniceus,69.5,57.5,17.26618705
Cardinalidae,122839,Cardinalis sinuatus,83,64.5,22.28915663
Cardinalidae,114400,Cardinalis sinuatus,80,61.5,23.125
Cardinalidae,153411,Cardinalis sinuatus,87,64.5,25.86206897
Cardinalidae,29716,Cardinalis sinuatus,74.5,60,19.46308725
Cardinalidae,61162,Caryothraustes canadensis,85,56.5,33.52941176
Cardinalidae,62119,Caryothraustes canadensis,80.5,46.5,42.23602484
Cardinalidae,68818,Caryothraustes canadensis,82,48,41.46341463
Cardinalidae,62084,Caryothraustes canadensis,86,55,36.04651163
Cardinalidae,34113,Caryothraustes canadensis,76,50,34.21052632
Cardinalidae,25053,Caryothraustes poliogaster,74,49,33.78378378
Cardinalidae,134460,Caryothraustes poliogaster,73,50,31.50684932
Cardinalidae,27701,Caryothraustes poliogaster,82.5,59,28.48484848
Cardinalidae,143252,Caryothraustes poliogaster,79,60,24.05063291
Cardinalidae,116376,Caryothraustes poliogaster,80,55.5,30.625
Cardinalidae,13528,Chlorothraupis carmioli,74,49,33.78378378
Cardinalidae,25936,Chlorothraupis carmioli,73,50,31.50684932
Cardinalidae,13338,Chlorothraupis carmioli,82.5,59,28.48484848
Cardinalidae,25345,Chlorothraupis carmioli,79,60,24.05063291
Cardinalidae,25947,Chlorothraupis carmioli,80,55.5,30.625
Cardinalidae,66019,Chlorothraupis olivacea,74,52,29.72972973
Cardinalidae,66440,Chlorothraupis olivacea,73,52.5,28.08219178
Cardinalidae,64465,Chlorothraupis olivacea,82.5,55,33.33333333
Cardinalidae,66356,Chlorothraupis olivacea,79,54.5,31.01265823
Cardinalidae,66203,Chlorothraupis olivacea,80,55.5,30.625
Cardinalidae,142302,Cyanocompsa parellina,70,46.5,33.57142857
Cardinalidae,142313,Cyanocompsa parellina,68,43,36.76470588
Cardinalidae,143319,Cyanocompsa parellina,70.5,45.5,35.46099291
Cardinalidae,136493,Cyanocompsa parellina,64.5,46,28.68217054
Cardinalidae,15678,Cyanocompsa parellina,68.5,40,41.60583942
Cardinalidae,51602,Cyanoloxia brissonii,76,49,35.52631579
Cardinalidae,53001,Cyanoloxia brissonii,81,59,27.16049383
Cardinalidae,51612,Cyanoloxia brissonii,81.5,50,38.65030675
Cardinalidae,51853,Cyanoloxia brissonii,78,51.5,33.97435897
Cardinalidae,80783,Cyanoloxia brissonii,83,53.5,35.54216867
Cardinalidae,3462,Cyanoloxia cyanoides,72.5,47,35.17241379
Cardinalidae,9351,Cyanoloxia cyanoides,79,49.5,37.34177215
Cardinalidae,44430,Cyanoloxia cyanoides,71,49.5,30.28169014
Cardinalidae,133484,Cyanoloxia cyanoides,73.4,46.5,36.64850136
Cardinalidae,135122,Cyanoloxia cyanoides,69.5,47,32.37410072
Cardinalidae,143246,Cyanoloxia glaucocaerulea,64,43,32.8125
Cardinalidae,69401,Cyanoloxia rothschildii,67.5,48.5,28.14814815
Cardinalidae,69473,Cyanoloxia rothschildii,79,52.5,33.5443038
Cardinalidae,64816,Cyanoloxia rothschildii,68,42,38.23529412
Cardinalidae,50829,Cyanoloxia rothschildii,72.5,55,24.13793103
Cardinalidae,51143,Cyanoloxia rothschildii,73,59.5,18.49315068
Cardinalidae,76675,Granatellus pelzelni,54.5,35.5,34.86238532
Cardinalidae,32175,Granatellus pelzelni,54.5,33,39.44954128
Cardinalidae,77509,Granatellus pelzelni,54,34,37.03703704
Cardinalidae,76407,Granatellus pelzelni,56,33,41.07142857
Cardinalidae,32093,Granatellus pelzelni,55.5,33.5,39.63963964
Cardinalidae,141723,Granatellus sallaei,57.5,38,33.91304348
Cardinalidae,144869,Granatellus sallaei,56.5,36,36.28318584
Cardinalidae,136660,Granatellus sallaei,59,37.5,36.44067797
Cardinalidae,142200,Granatellus sallaei,59.5,38,36.13445378
Cardinalidae,136659,Granatellus sallaei,60,41.5,30.83333333
Cardinalidae,67277,Habia cristata,92,59,35.86956522
Cardinalidae,67278,Habia cristata,90,60,33.33333333
Cardinalidae,132595,Habia fuscicauda,96.5,65,32.64248705
Cardinalidae,142023,Habia fuscicauda,99,56,43.43434343
Cardinalidae,52073,Habia fuscicauda,92,58,36.95652174
Cardinalidae,52129,Habia fuscicauda,98,58.5,40.30612245
Cardinalidae,142247,Habia fuscicauda,93,60,35.48387097
Cardinalidae,58746,Habia gutturalis,89,62,30.33707865
Cardinalidae,59286,Habia gutturalis,89.5,47.2,47.26256983
Cardinalidae,58702,Habia gutturalis,98,68,30.6122449
Cardinalidae,58834,Habia gutturalis,88,68,22.72727273
Cardinalidae,58745,Habia gutturalis,90,66.5,26.11111111
Cardinalidae,86474,Habia rubica,98,67,31.63265306
Cardinalidae,87862,Habia rubica,83.5,57.5,31.13772455
Cardinalidae,27372,Habia rubica,90.5,54.5,39.77900552
Cardinalidae,38394,Habia rubica,83,55,33.73493976
Cardinalidae,51189,Habia rubica,91,60,34.06593407
Cardinalidae,127582,Passerina amoena,71.5,40,44.05594406
Cardinalidae,131854,Passerina amoena,71.5,43,39.86013986
Cardinalidae,122346,Passerina amoena,69.5,41.5,40.28776978
Cardinalidae,15655,Passerina amoena,74.5,44.5,40.26845638
Cardinalidae,15652,Passerina amoena,72.5,44.5,38.62068966
Cardinalidae,113853,Passerina caerulea,66,54,18.18181818
Cardinalidae,29940,Passerina ciris,69,45,34.7826087
Cardinalidae,166093,Passerina ciris,70.5,43,39.0070922
Cardinalidae,26318,Passerina ciris,72.5,42,42.06896552
Cardinalidae,161518,Passerina ciris,70,42,40
Cardinalidae,166098,Passerina ciris,71,45.5,35.91549296
Cardinalidae,154631,Passerina cyanea,68.5,37,45.98540146
Cardinalidae,2833,Passerina cyanea,65,38,41.53846154
Cardinalidae,1017,Passerina cyanea,65,37,43.07692308
Cardinalidae,132951,Passerina cyanea,66.5,31,53.38345865
Cardinalidae,128541,Passerina cyanea,63,35,44.44444444
Cardinalidae,136499,Passerina leclancherii,62.5,41,34.4
Cardinalidae,141931,Passerina leclancherii,68.5,41.5,39.41605839
Cardinalidae,141932,Passerina leclancherii,68.5,42,38.68613139
Cardinalidae,2344,Passerina leclancherii,66.5,41.5,37.59398496
Cardinalidae,141941,Passerina rositae,69,39,43.47826087
Cardinalidae,138576,Passerina rositae,73,46,36.98630137
Cardinalidae,138577,Passerina rositae,67,39,41.79104478
Cardinalidae,141940,Passerina rositae,65,40,38.46153846
Cardinalidae,114079,Passerina versicolor,64,42,34.375
Cardinalidae,114150,Passerina versicolor,63,43,31.74603175
Cardinalidae,71337,Passerina versicolor,60,39.5,34.16666667
Cardinalidae,114149,Passerina versicolor,64,42,34.375
Cardinalidae,71338,Passerina versicolor,64,45,29.6875
Cardinalidae,69498,Periporphyrus erythromelas,98,64,34.69387755
Cardinalidae,81443,Pheucticus aureoventris,98.5,61,38.07106599
Cardinalidae,32790,Pheucticus aureoventris,104.5,63,39.71291866
Cardinalidae,81444,Pheucticus aureoventris,105,62,40.95238095
Cardinalidae,85510,Pheucticus aureoventris,98.5,54,45.17766497
Cardinalidae,85797,Pheucticus aureoventris,109.5,57,47.94520548
Cardinalidae,860,Pheucticus chrysogaster,100.5,67,33.33333333
Cardinalidae,142850,Pheucticus chrysogaster,105.5,65.5,37.91469194
Cardinalidae,102304,Pheucticus chrysogaster,108.5,69.5,35.94470046
Cardinalidae,136489,Pheucticus chrysogaster,99,73,26.26262626
Cardinalidae,102305,Pheucticus chrysogaster,109,69.5,36.23853211
Cardinalidae,53711,Pheucticus chrysopeplus,117,70,40.17094017
Cardinalidae,136487,Pheucticus chrysopeplus,109.5,64,41.55251142
Cardinalidae,136486,Pheucticus chrysopeplus,113.5,65.5,42.2907489
Cardinalidae,136488,Pheucticus chrysopeplus,117,64,45.2991453
Cardinalidae,141903,Pheucticus ludovicianus,102.5,61.5,40
Cardinalidae,142676,Pheucticus ludovicianus,99.5,51.5,48.24120603
Cardinalidae,149656,Pheucticus ludovicianus,92.5,51,44.86486486
Cardinalidae,150678,Pheucticus ludovicianus,101,49,51.48514851
Cardinalidae,152692,Pheucticus ludovicianus,99,52,47.47474747
Cardinalidae,114110,Pheucticus melanocephalus,99.5,57,42.71356784
Cardinalidae,124227,Pheucticus melanocephalus,96,50,47.91666667
Cardinalidae,122943,Pheucticus melanocephalus,95,53.5,43.68421053
Cardinalidae,121546,Pheucticus melanocephalus,99,53,46.46464646
Cardinalidae,126858,Pheucticus melanocephalus,102.5,55,46.34146341
Cardinalidae,25390,Pheucticus tibialis,106,60.5,42.9245283
Cardinalidae,11118,Pheucticus tibialis,103,56,45.63106796
Cardinalidae,11254,Pheucticus tibialis,106,56,47.16981132
Cardinalidae,11269,Pheucticus tibialis,112,72.5,35.26785714
Cardinalidae,11147,Pheucticus tibialis,104,60,42.30769231
Cardinalidae,11134,Piranga bidentata,94,54.5,42.0212766
Cardinalidae,11158,Piranga bidentata,97.5,56,42.56410256
Cardinalidae,11472,Piranga bidentata,91.5,53,42.07650273
Cardinalidae,155622,Piranga bidentata,92,60,34.7826087
Cardinalidae,155618,Piranga bidentata,94,55,41.4893617
Cardinalidae,91440,Piranga erythrocephala,66.5,39,41.35338346
Cardinalidae,143637,Piranga erythrocephala,69.5,40,42.44604317
Cardinalidae,143636,Piranga erythrocephala,68.5,41.5,39.41605839
Cardinalidae,914401,Piranga erythrocephala,68,40,41.17647059
Cardinalidae,137448,Piranga flava,99,63.5,35.85858586
Cardinalidae,137455,Piranga flava,94.5,65.5,30.68783069
Cardinalidae,32986,Piranga flava,99,65.5,33.83838384
Cardinalidae,80293,Piranga flava,110,61.5,44.09090909
Cardinalidae,80373,Piranga flava,118,60.5,48.72881356
Cardinalidae,120581,Piranga leucoptera,67,45,32.8358209
Cardinalidae,36837,Piranga leucoptera,68,40,41.17647059
Cardinalidae,85479,Piranga leucoptera,65.5,44,32.82442748
Cardinalidae,47810,Piranga leucoptera,68.5,44.5,35.03649635
Cardinalidae,106868,Piranga leucoptera,64.5,37.5,41.86046512
Cardinalidae,127012,Piranga ludoviciana,97,58,40.20618557
Cardinalidae,125932,Piranga ludoviciana,97,53,45.36082474
Cardinalidae,127951,Piranga ludoviciana,97,49,49.48453608
Cardinalidae,15801,Piranga ludoviciana,94.5,54,42.85714286
Cardinalidae,15806,Piranga ludoviciana,93,48,48.38709677
Cardinalidae,2096,Piranga olivacea,95,51,46.31578947
Cardinalidae,2973,Piranga olivacea,94.5,48,49.20634921
Cardinalidae,120629,Piranga olivacea,96,49,48.95833333
Cardinalidae,164804,Piranga olivacea,94.5,53,43.91534392
Cardinalidae,170484,Piranga olivacea,91.5,53.5,41.53005464
Cardinalidae,143152,Piranga roseogularis,80.5,54,32.91925466
Cardinalidae,143208,Piranga roseogularis,80,58.5,26.875
Cardinalidae,142201,Piranga roseogularis,74.5,52.5,29.53020134
Cardinalidae,143196,Piranga roseogularis,80,52,35
Cardinalidae,144770,Piranga roseogularis,77.5,52,32.90322581
Cardinalidae,25493,Piranga rubra,94,49,47.87234043
Cardinalidae,26622,Piranga rubra,91.5,56.5,38.25136612
Cardinalidae,26624,Piranga rubra,98,50,48.97959184
Cardinalidae,164826,Piranga rubra,91.5,54,40.98360656
Cardinalidae,164838,Piranga rubra,93,46,50.53763441
Cardinalidae,70305,Piranga rubriceps,90,54.5,39.44444444
Cardinalidae,122880,Rhodothraupis celaeno,104,72.5,30.28846154
Cardinalidae,126736,Rhodothraupis celaeno,107,73,31.77570093
Cardinalidae,15760,Rhodothraupis celaeno,103.5,69.5,32.85024155
Cardinalidae,84789,Rhodothraupis celaeno,104,65,37.5
Cardinalidae,15758,Rhodothraupis celaeno,103,70.5,31.55339806
Cardinalidae,131590,Spiza americana,81,45,44.44444444
Cardinalidae,150989,Spiza americana,82,44.5,45.73170732
Cardinalidae,132585,Spiza americana,82.5,43.5,47.27272727
Cardinalidae,25419,Spiza americana,83.5,45,46.10778443
Cardinalidae,168173,Spiza americana,80.5,45.9,42.98136646
Emberizidae,40935,Emberiza aureola,73,45,38.35616438
Emberizidae,36021,Emberiza aureola,79,45,43.03797468
Emberizidae,107111,Emberiza cabanisi,80,53,33.75
Emberizidae,107085,Emberiza cabanisi,78,51,34.61538462
Emberizidae,101120,Emberiza cabanisi,77,51,33.76623377
Emberizidae,103502,Emberiza cabanisi,75,51.5,31.33333333
Emberizidae,107063,Emberiza cabanisi,78,52.5,32.69230769
Emberizidae,153302,Emberiza caesia,78.5,36.5,53.50318471
Emberizidae,108309,Emberiza cia,82.5,48.5,41.21212121
Emberizidae,108345,Emberiza cia,73.5,39,46.93877551
Emberizidae,23085,Emberiza cia,76.5,44,42.48366013
Emberizidae,108344,Emberiza cia,80.5,43,46.58385093
Emberizidae,108343,Emberiza cia,76,48,36.84210526
Emberizidae,40670,Emberiza cioides,76.5,49.5,35.29411765
Emberizidae,40677,Emberiza cioides,76.5,44.5,41.83006536
Emberizidae,40672,Emberiza cioides,79.5,44.5,44.02515723
Emberizidae,36062,Emberiza cioides,79,47.5,39.87341772
Emberizidae,82124,Emberiza cioides,75.5,42.5,43.70860927
Emberizidae,108336,Emberiza cirlus,79,43.5,44.93670886
Emberizidae,112749,Emberiza cirlus,80,43.5,45.625
Emberizidae,112946,Emberiza cirlus,76,42.5,44.07894737
Emberizidae,108401,Emberiza cirlus,78,43.5,44.23076923
Emberizidae,10350,Emberiza cirlus,79.5,47,40.88050314
Emberizidae,10351,Emberiza citrinella,75,39,48
Emberizidae,998,Emberiza citrinella,85,46,45.88235294
Emberizidae,112726,Emberiza citrinella,86,45,47.6744186
Emberizidae,23091,Emberiza citrinella,89.5,59,34.07821229
Emberizidae,995,Emberiza citrinella,90,51.5,42.77777778
Emberizidae,40815,Emberiza elegans,71,48,32.3943662
Emberizidae,82126,Emberiza elegans,78,45,42.30769231
Emberizidae,40782,Emberiza elegans,71.5,45,37.06293706
Emberizidae,41082,Emberiza elegans,72,43.5,39.58333333
Emberizidae,107857,Emberiza flaviventris,81.5,45.5,44.17177914
Emberizidae,149108,Emberiza flaviventris,79,50,36.70886076
Emberizidae,108889,Emberiza flaviventris,78,49.5,36.53846154
Emberizidae,148435,Emberiza flaviventris,85,54,36.47058824
Emberizidae,107453,Emberiza flaviventris,83,52,37.34939759
Emberizidae,81965,Emberiza fucata,71,43,39.43661972
Emberizidae,82325,Emberiza fucata,70,43,38.57142857
Emberizidae,40994,Emberiza fucata,70.5,49.5,29.78723404
Emberizidae,81977,Emberiza fucata,73.5,42,42.85714286
Emberizidae,113113,Emberiza hortulana,79.5,39,50.94339623
Emberizidae,82162,Emberiza hortulana,88.5,45.5,48.58757062
Emberizidae,10352,Emberiza hortulana,89,44.5,50
Emberizidae,113114,Emberiza hortulana,93.5,45.5,51.3368984
Emberizidae,82163,Emberiza hortulana,85.5,52,39.18128655
Emberizidae,108776,Emberiza impetuani,74.5,44,40.93959732
Emberizidae,108777,Emberiza impetuani,74,47,36.48648649
Emberizidae,91462,Emberiza melanocephala,90,41.5,53.88888889
Emberizidae,113160,Emberiza melanocephala,96.5,47,51.29533679
Emberizidae,113200,Emberiza melanocephala,98,45.5,53.57142857
Emberizidae,113183,Emberiza melanocephala,97,47,51.54639175
Emberizidae,113201,Emberiza melanocephala,93,49,47.31182796
Emberizidae,27855,Emberiza pallasi,69,45,34.7826087
Emberizidae,27854,Emberiza pallasi,76.5,51.5,32.67973856
Emberizidae,148861,Emberiza poliopleura,78,48,38.46153846
Emberizidae,148830,Emberiza poliopleura,73.5,48,34.69387755
Emberizidae,140220,Emberiza poliopleura,68,43,36.76470588
Emberizidae,148835,Emberiza poliopleura,68.5,46,32.84671533
Emberizidae,140218,Emberiza poliopleura,69,42,39.13043478
Emberizidae,40990,Emberiza rutila,70,39.5,43.57142857
Emberizidae,40919,Emberiza rutila,72.5,37.5,48.27586207
Emberizidae,40835,Emberiza rutila,79,39,50.63291139
Emberizidae,41015,Emberiza rutila,67.5,35,48.14814815
Emberizidae,41006,Emberiza rutila,71,39,45.07042254
Emberizidae,10357,Emberiza schoeniclus,73,45.5,37.67123288
Emberizidae,23100,Emberiza schoeniclus,74,42,43.24324324
Emberizidae,81955,Emberiza schoeniclus,71,44,38.02816901
Emberizidae,10358,Emberiza schoeniclus,71.5,39.5,44.75524476
Emberizidae,40743,Emberiza spodocephala,69,45,34.7826087
Emberizidae,40968,Emberiza spodocephala,66,44,33.33333333
Emberizidae,41014,Emberiza spodocephala,67,42.5,36.56716418
Emberizidae,40972,Emberiza spodocephala,68.5,42.5,37.95620438
Emberizidae,36042,Emberiza spodocephala,67.5,41.5,38.51851852
Emberizidae,30034,Emberiza striolata,69,43,37.68115942
Emberizidae,149610,Emberiza striolata,73,50.5,30.82191781
Emberizidae,30043,Emberiza striolata,70.5,49,30.4964539
Emberizidae,30109,Emberiza striolata,75,51,32
Emberizidae,30033,Emberiza striolata,76.5,52,32.02614379
Emberizidae,95041,Emberiza sulphurata,70,40.5,42.14285714
Emberizidae,82326,Emberiza sulphurata,66,40.5,38.63636364
Emberizidae,95019,Emberiza sulphurata,68,40,41.17647059
Emberizidae,94996,Emberiza sulphurata,69.5,40,42.44604317
Emberizidae,95021,Emberiza sulphurata,68,38,44.11764706
Emberizidae,107420,Emberiza tahapisi,72.5,45,37.93103448
Emberizidae,107418,Emberiza tahapisi,81.5,56,31.28834356
Emberizidae,14814,Emberiza tahapisi,77.5,50,35.48387097
Emberizidae,40738,Emberiza tahapisi,77,50,35.06493506
Emberizidae,100435,Emberiza variabilis,79.5,47,40.88050314
Icteridae,140612,Agelaioides badius,89,75,15.73033708
Icteridae,80830,Agelaioides badius,85.5,54,36.84210526
Icteridae,140763,Agelaioides badius,90,55,38.88888889
Icteridae,119615,Agelaioides badius,82,52,36.58536585
Icteridae,140803,Agelaioides badius,86,55,36.04651163
Icteridae,41317,Agelaius assimilis,108.5,69.5,35.94470046
Icteridae,41388,Agelaius assimilis,107.5,76,29.30232558
Icteridae,41389,Agelaius assimilis,92.5,57,38.37837838
Icteridae,41298,Agelaius assimilis,103,64.5,37.37864078
Icteridae,41390,Agelaius assimilis,96.5,55,43.00518135
Icteridae,138794,Agelaius humeralis,102,66.5,34.80392157
Icteridae,138807,Agelaius humeralis,105.5,64.5,38.86255924
