"Family"	"collection_number"	"Species"	"WL"	"SL"	"HWI"
"Calcariidae"	163830	"Calcarius lapponicus"	68.5	50.5	26.27737226
"Calcariidae"	108016	"Calcarius lapponicus"	68	41	39.70588235
"Calcariidae"	158305	"Calcarius lapponicus"	70	49	30
"Calcariidae"	102172	"Calcarius lapponicus"	73	41.5	43.15068493
"Calcariidae"	136347	"Calcarius lapponicus"	75	49	34.66666667
"Calcariidae"	112214	"Calcarius ornatus"	62.5	50.5	19.2
"Calcariidae"	163836	"Calcarius ornatus"	62	41	33.87096774
"Calcariidae"	14110	"Calcarius ornatus"	63.5	48	24.40944882
"Calcariidae"	163835	"Calcarius ornatus"	69	49.5	28.26086957
"Calcariidae"	14127	"Calcarius ornatus"	73.5	52	29.25170068
"Calcariidae"	110511	"Calcarius pictus"	75	48.5	35.33333333
"Calcariidae"	82184	"Calcarius pictus"	75	50	33.33333333
"Calcariidae"	82179	"Calcarius pictus"	78	41	47.43589744
"Calcariidae"	110711	"Calcarius pictus"	80	40.5	49.375
"Calcariidae"	158553	"Calcarius pictus"	81.5	55.5	31.90184049
"Calcariidae"	111642	"Plectrophenax hyperboreus"	85	59.5	30
"Calcariidae"	111643	"Plectrophenax hyperboreus"	88.5	53	40.11299435
"Calcariidae"	100901	"Plectrophenax hyperboreus"	89.5	60	32.96089385
"Calcariidae"	111641	"Plectrophenax hyperboreus"	90	60.5	32.77777778
"Calcariidae"	122691	"Plectrophenax nivalis"	75	48.5	35.33333333
"Calcariidae"	119286	"Plectrophenax nivalis"	75	50	33.33333333
"Calcariidae"	10363	"Plectrophenax nivalis"	78	41	47.43589744
"Calcariidae"	7674	"Plectrophenax nivalis"	80	40.5	49.375
"Calcariidae"	122718	"Plectrophenax nivalis"	81.5	55.5	31.90184049
"Calcariidae"	12021	"Rhynchophanes mccownii"	70.5	55	21.9858156
"Calcariidae"	12024	"Rhynchophanes mccownii"	70	44	37.14285714
"Calcariidae"	14140	"Rhynchophanes mccownii"	72	49.5	31.25
"Calcariidae"	163849	"Rhynchophanes mccownii"	74.5	43.5	41.61073826
"Calcariidae"	112231	"Rhynchophanes mccownii"	78.5	45.5	42.03821656
"Calyptophilidae"	120575	"Calyptophilus frugivorus"	57.5	47	18.26086957
"Calyptophilidae"	915761	"Calyptophilus frugivorus"	69	62	10.14492754
"Calyptophilidae"	91575	"Calyptophilus frugivorus"	70	69.5	0.714285714
"Calyptophilidae"	120576	"Calyptophilus frugivorus"	80	69	13.75
"Cardinalidae"	134507	"Amaurospiza concolor"	50	41.5	17
"Cardinalidae"	136526	"Amaurospiza moesta"	61.5	46.5	24.3902439
"Cardinalidae"	152564	"Cardinalis cardinalis"	73.5	66.5	9.523809524
"Cardinalidae"	151841	"Cardinalis cardinalis"	79.5	66.5	16.35220126
"Cardinalidae"	151841	"Cardinalis cardinalis"	79.5	66.5	16.35220126
"Cardinalidae"	152328	"Cardinalis cardinalis"	79.5	66.5	16.35220126
"Cardinalidae"	152328	"Cardinalis cardinalis"	79.5	66.5	16.35220126
"Cardinalidae"	154064	"Cardinalis cardinalis"	81.5	64.5	20.85889571
"Cardinalidae"	149872	"Cardinalis cardinalis"	83	71	14.45783133
"Cardinalidae"	45524	"Cardinalis phoeniceus"	66	63.5	3.787878788
"Cardinalidae"	45497	"Cardinalis phoeniceus"	68	59	13.23529412
"Cardinalidae"	45563	"Cardinalis phoeniceus"	69.5	66.5	4.316546763
"Cardinalidae"	45498	"Cardinalis phoeniceus"	70	67.5	3.571428571
"Cardinalidae"	36632	"Cardinalis phoeniceus"	78.5	66	15.92356688
"Cardinalidae"	29716	"Cardinalis sinuatus"	74.5	70	6.040268456
"Cardinalidae"	114400	"Cardinalis sinuatus"	80	72	10
"Cardinalidae"	122839	"Cardinalis sinuatus"	83	75	9.638554217
