sp,HWI,migratory,area
Agelaioides_badius,32.81864174,No-migrant,344.2763261
Agelaius_assimilis,36.80184531,No-migrant,0.357111998
Agelaius_humeralis,39.59651739,No-migrant,9.645047601
Agelaius_phoeniceus,39.48126085,Migrant,1627.053885
Agelaius_tricolor,45.41824939,No-migrant,11.46527076
Agelaius_xanthomus,33.50391868,No-migrant,0.745426198
Agelasticus_thilius,32.41841238,Migrant,271.7000232
Aimophila_rufescens,27.26009273,No-migrant,53.34525677
Aimophila_ruficeps,24.73223343,No-migrant,110.4010814
Amblycercus_holosericeus,25.34657252,No-migrant,96.41012479
Amblyramphus_holosericeus,29.90237184,No-migrant,144.0188526
Ammodramus_aurifrons,25.57024814,No-migrant,316.1972523
Ammodramus_humeralis,28.25520968,No-migrant,787.9669552
Ammodramus_savannarum,38.29202467,Migrant,798.5695369
Ammospiza_caudacuta,31.63125035,Migrant,15.50847265
Ammospiza_leconteii,30.44349792,Migrant,526.2652941
Ammospiza_maritima,24.98306184,Migrant,20.32624914
Ammospiza_nelsoni,34.0302396,Migrant,338.6746379
Amphispiza_bilineata,32.12338529,No-migrant,236.1320872
Anisognathus_igniventris,29.93778725,No-migrant,8.102936962
Anisognathus_lacrymosus,30.60602619,No-migrant,14.23587825
Anisognathus_melanogenys,30.37067676,No-migrant,0.653616291
Anisognathus_somptuosus,34.22264793,No-migrant,26.15667389
Arremon_assimilis,22.91472551,No-migrant,24.80654132
Arremon_aurantiirostris,26.8303396,No-migrant,57.21693397
Arremon_brunneinucha,23.35812286,No-migrant,51.21830734
Arremon_costaricensis,24.98065176,No-migrant,0.306321489
Arremon_crassirostris,21.29820574,No-migrant,0.781738436
Arremon_phaeopleurus,19.34838067,No-migrant,0.850758152
Arremon_schlegeli,27.79959895,No-migrant,15.4906375
Arremon_taciturnus,24.99662618,No-migrant,555.7491732
Arremon_torquatus,23.41482296,No-migrant,9.687325165
Arremon_virenticeps,21.71561677,No-migrant,6.867988511
Arremonops_chloronotus,20.24236874,No-migrant,19.96297885
Arremonops_conirostris,26.40297646,No-migrant,92.90570402
Arremonops_rufivirgatus,27.97521337,No-migrant,48.45946356
Arremonops_tocuyensis,19.75265003,No-migrant,6.022265348
Artemisiospiza_belli,32.73299834,Migrant,22.28533424
Artemisiospiza_nevadensis,37.41581294,Migrant,169.8045209
Atlapetes_albinucha,26.02698133,No-migrant,22.88948239
Atlapetes_albofrenatus,27.61250849,No-migrant,2.537939707
Atlapetes_melanocephalus,25.12112759,No-migrant,0.333368195
Atlapetes_pallidinucha,21.98349847,No-migrant,7.984896704
