sp,HWI,migratory,distances_mid
Agelaius_phoeniceus,39.48126085,Migrant,3088.89453
Ammodramus_savannarum,38.29202467,Migrant,2172.540206
Ammospiza_caudacuta,31.63125035,Migrant,1241.796465
Ammospiza_leconteii,30.44349792,Migrant,2403.345212
Ammospiza_maritima,24.98306184,Migrant,1728.476807
Ammospiza_nelsoni,34.0302396,Migrant,2577.789392
Artemisiospiza_belli,32.73299834,Migrant,416.4747049
Artemisiospiza_nevadensis,37.41581294,Migrant,995.6918281
Calamospiza_melanocorys,40.71267222,Migrant,1858.251334
Calcarius_lapponicus,47.87575226,Migrant,6686.522399
Calcarius_ornatus,40.01013754,Migrant,1795.646003
Calcarius_pictus,52.57500393,Migrant,3742.283034
Cardellina_canadensis,39.51669624,Migrant,5351.436253
Cardellina_pusilla,37.8295589,Migrant,4609.76105
Cardellina_rubrifrons,37.50858753,Migrant,1536.864813
Chondestes_grammacus,43.73402436,Migrant,1992.219332
Dolichonyx_oryzivorus,48.60967715,Migrant,8222.692737
Emberiza_cia,42.81210261,Migrant,4491.929752
Emberiza_citrinella,43.68255232,Migrant,2957.134762
Emberiza_hortulana,48.00983036,Migrant,4834.228088
Emberiza_melanocephala,51.52277479,Migrant,4129.928406
Emberiza_rutila,47.13975454,Migrant,3955.024391
Emberiza_spodocephala,36.23156582,Migrant,3470.219854
Emberiza_sulphurata,41.70387632,Migrant,623.1790543
Euphagus_carolinus,40.87784483,Migrant,3126.766219
Euphagus_cyanocephalus,43.60399505,Migrant,2237.132933
Geothlypis_formosa,44.11561939,Migrant,2590.280746
Geothlypis_philadelphia,36.42861113,Migrant,4853.49128
Geothlypis_tolmiei,36.19303591,Migrant,3888.702501
Geothlypis_trichas,34.53433422,Migrant,2931.171959
Helmitheros_vermivorum,44.05459925,Migrant,2379.412221
Icteria_virens,38.0565287,Migrant,2641.161063
Icterus_abeillei,40.34350751,Migrant,475.3697942
Icterus_cucullatus,38.60931929,Migrant,1930.687573
Icterus_galbula,41.29489501,Migrant,3404.680653
Icterus_parisorum,42.59851511,Migrant,739.5909364
Icterus_spurius,38.70570302,Migrant,2680.680478
Junco_hyemalis,39.51656501,Migrant,2504.886392
Limnothlypis_swainsonii,40.9249581,Migrant,1571.282653
Melospiza_georgiana,30.83011895,Migrant,2441.349526
Melospiza_lincolnii,40.27050517,Migrant,2804.777873
Melospiza_melodia,34.95213383,Migrant,2354.153689
Mniotilta_varia,44.31378785,Migrant,3704.27974
Molothrus_ater,51.01120527,Migrant,3004.221845
Oporornis_agilis,47.00091654,Migrant,6656.19358
Parkesia_motacilla,40.79963026,Migrant,2662.119006
Parkesia_noveboracensis,38.24562964,Migrant,5468.592565
Passerculus_sandwichensis,41.01971352,Migrant,3350.970801
Passerella_iliaca,29.02715357,Migrant,3652.870989
Passerina_amoena,40.61859995,Migrant,2239.57728
Passerina_ciris,38.35483187,Migrant,1740.75219
Passerina_cyanea,45.68573783,Migrant,2605.77316
Passerina_versicolor,32.87003968,Migrant,776.7392604
Peucaea_cassinii,30.82681437,Migrant,1263.927887
Pheucticus_ludovicianus,46.41319338,Migrant,4353.292054
Pheucticus_melanocephalus,45.42411098,Migrant,1870.099459
Pipilo_chlorurus,29.19226247,Migrant,1439.194982
Pipilo_erythrophthalmus,29.17257381,Migrant,1563.912112
Piranga_ludoviciana,45.2591572,Migrant,4000.126751
Piranga_olivacea,45.98517411,Migrant,4907.975583
Piranga_rubra,45.32490787,Migrant,3494.249614
Plectrophenax_nivalis,52.57500393,Migrant,5880.861655
Pooecetes_gramineus,40.52926864,Migrant,1926.812467
Protonotaria_citrea,40.60227763,Migrant,2464.415505
Quiscalus_quiscula,40.50741273,Migrant,2075.91648
Rhynchophanes_mccownii,47.94321289,Migrant,1876.912401
Seiurus_aurocapilla,40.72392542,Migrant,3393.44826
Setophaga_americana,40.44881976,Migrant,2326.3022
Setophaga_caerulescens,39.73872701,Migrant,2619.656018
Setophaga_castanea,45.8093781,Migrant,5274.284172
Setophaga_cerulea,51.343793,Migrant,4531.906232
Setophaga_chrysoparia,42.71127691,Migrant,1961.335606
Setophaga_citrina,36.30792261,Migrant,2329.879626
Setophaga_coronata,44.5590997,Migrant,3301.603612
Setophaga_discolor,35.86975569,Migrant,1904.964297
Setophaga_dominica,43.65297904,Migrant,1944.140105
Setophaga_fusca,51.08959423,Migrant,5031.97303
Setophaga_kirtlandii,42.79133964,Migrant,2585.017591
Setophaga_magnolia,31.51406543,Migrant,4089.594489
Setophaga_nigrescens,41.5309023,Migrant,2379.410128
Setophaga_occidentalis,40.41041029,Migrant,3134.953811
Setophaga_palmarum,36.32002753,Migrant,3263.969264
Setophaga_pensylvanica,46.60765036,Migrant,4028.16421
Setophaga_petechia,39.08259039,Migrant,6844.802319
Setophaga_pinus,42.86298934,Migrant,1609.323869
Setophaga_ruticilla,42.06211537,Migrant,4980.646555
Setophaga_striata,45.23019273,Migrant,7457.672533
Setophaga_tigrina,44.09391281,Migrant,3986.301122
Setophaga_townsendi,43.09770166,Migrant,4702.896823
Setophaga_virens,43.10224066,Migrant,3641.417484
Spiza_americana,45.30760599,Migrant,3804.547732
Spizella_atrogularis,31.19620064,Migrant,954.3419953
Spizella_breweri,35.03453068,Migrant,2281.808342
Spizella_pallida,34.75979485,Migrant,3103.396984
Spizella_passerina,42.4228562,Migrant,2715.399728
Spizella_pusilla,32.77937976,Migrant,1512.493301
Sporophila_caerulescens,34.73442541,Migrant,2634.884133
Sporophila_hypochroma,36.45831165,Migrant,1036.657362
Sporophila_lineola,35.73128958,Migrant,2028.064515
Sturnella_neglecta,37.71501618,Migrant,2070.011737
Vermivora_bachmanii,44.28042916,Migrant,1572.0114
Vermivora_chrysoptera,40.62383685,Migrant,3795.51534
Vermivora_cyanoptera,37.90505831,Migrant,2695.600495
Xanthocephalus_xanthocephalus,42.8873806,Migrant,2252.724374
Zonotrichia_albicollis,32.31527094,Migrant,2138.464622
Zonotrichia_atricapilla,35.78614257,Migrant,2713.103852
Zonotrichia_leucophrys,38.58885596,Migrant,3058.370032
Zonotrichia_querula,37.74385632,Migrant,3210.319494
