"sp"	"HWI"	"migratory"	"area"
"Rhynchophanes_mccownii"	34.80552551	"Migrant"	158.9574759
"Plectrophenax_nivalis"	39.47588092	"Migrant"	3994.486215
"Plectrophenax_hyperboreus"	36.65013495	"Migrant"	14.14076687
"Calcarius_lapponicus"	34.76012124	"Migrant"	3347.677593
"Calcarius_ornatus"	26.99859736	"Migrant"	232.7849014
"Calcarius_pictus"	39.47588092	"Migrant"	224.0373902
"Phaenicophilus_palmarum"	13.69773459	"No-migrant"	5.742344668
"Spindalis_zena"	21.09290807	"No-migrant"	11.06557066
"Zeledonia_coronata"	13.85982917	"No-migrant"	0.425567409
"Teretistris_fernandinae"	13.61292434	"No-migrant"	2.254467947
"Icterus_melanopsis"	26.51912464	"No-migrant"	9.569616114
"Icterus_northropi"	21.02135269	"No-migrant"	0.469429262
"Icterus_dominicensis"	26.52876807	"No-migrant"	6.443652678
"Icterus_cayanensis"	26.26213128	"No-migrant"	336.5119929
"Icterus_auricapillus"	17.33651439	"No-migrant"	33.32646282
"Icterus_portoricensis"	22.28743815	"No-migrant"	0.749519594
"Icterus_prosthemelas"	24.11438299	"No-migrant"	37.34825133
"Icterus_spurius"	25.84932778	"Migrant"	605.8824804
"Icterus_cucullatus"	25.92597929	"Migrant"	137.4591513
"Icterus_wagleri"	24.48559121	"No-migrant"	66.71899927
"Icterus_mesomelas"	15.28598337	"No-migrant"	83.04647565
"Icterus_pectoralis"	18.65283264	"No-migrant"	17.39096307
"Icterus_icterus"	18.40598573	"No-migrant"	36.43888567
"Icterus_croconotus"	17.82659696	"No-migrant"	285.7777138
"Icterus_parisorum"	29.72019638	"Migrant"	171.9597202
"Icterus_graduacauda"	19.07489024	"No-migrant"	30.65760337
"Icterus_chrysater"	18.31926398	"No-migrant"	64.54250752
"Icterus_galbula"	28.44149523	"Migrant"	735.9657173
"Icterus_abeillei"	27.58543824	"Migrant"	34.36268131
"Icterus_nigrogularis"	14.66961326	"No-migrant"	112.0404463
"Icterus_gularis"	20.86131506	"No-migrant"	48.1721032
"Icterus_auratus"	19.05422578	"No-migrant"	9.979945442
"Icterus_leucopteryx"	25.25506073	"No-migrant"	0.961541986
"Icterus_pustulatus"	18.48780139	"No-migrant"	47.88953125
"Agelaius_tricolor"	32.56345816	"No-migrant"	11.46527076
"Agelaius_assimilis"	24.00003223	"No-migrant"	0.357111998
"Agelaius_phoeniceus"	26.73058555	"Migrant"	1627.053885
"Agelaius_xanthomus"	20.67224146	"No-migrant"	0.745426198
"Agelaius_humeralis"	26.83395727	"No-migrant"	9.645047601
"Ptiloxena_atroviolacea"	21.19506807	"No-migrant"	9.302275558
"Euphagus_carolinus"	27.83794459	"Migrant"	1365.638505
"Euphagus_cyanocephalus"	30.69656194	"Migrant"	1001.406082
"Quiscalus_quiscula"	27.73330168	"Migrant"	969.2311255
"Quiscalus_niger"	18.51794802	"No-migrant"	17.91176953
"Quiscalus_major"	31.62562667	"No-migrant"	19.61318964
"Quiscalus_mexicanus"	30.79049784	"No-migrant"	481.8775033
"Quiscalus_lugubris"	23.15880669	"No-migrant"	75.27227316
"Dives_dives"	17.22019452	"No-migrant"	50.34076932
"Amblyramphus_holosericeus"	16.95617986	"No-migrant"	144.0188526
"Curaeus_curaeus"	24.39603311	"No-migrant"	119.1898051
"Agelasticus_thilius"	19.27487671	"No-migrant"	271.7000232
"Agelasticus_cyanopus"	25.66713754	"No-migrant"	249.9067748
"Agelaioides_badius"	19.98660196	"No-migrant"	344.2763261
"Pseudoleistes_virescens"	23.56839372	"No-migrant"	87.82445826
"Chrysomus_icterocephalus"	14.10641114	"No-migrant"	129.3690043
"Chrysomus_ruficapillus"	25.55990459	"No-migrant"	506.244432
"Gnorimopsar_chopi"	25.8814207	"No-migrant"	511.2902367
"Macroagelaius_subalaris"	23.53821335	"No-migrant"	3.286225308
"Lampropsar_tanagrinus"	16.57938411	"No-migrant"	198.3649578
"Gymnomystax_mexicanus"	17.41841168	"No-migrant"	127.6286409
"Molothrus_rufoaxillaris"	26.84873622	"No-migrant"	425.9788399
"Molothrus_aeneus"	25.50486118	"No-migrant"	223.6650307
"Molothrus_ater"	38.07434113	"Migrant"	1371.786533
"Molothrus_bonariensis"	31.44459861	"No-migrant"	1135.244616
"Cassiculus_melanicterus"	25.65810161	"No-migrant"	20.03522731
"Cacicus_haemorrhous"	27.93672735	"No-migrant"	668.9419379
"Cacicus_chrysonotus"	24.81311083	"No-migrant"	7.621190341
"Cacicus_uropygialis"	27.62046605	"No-migrant"	11.26493901
"Cacicus_cela"	31.25398418	"No-migrant"	703.5741119
"Cacicus_chrysopterus"	18.09066501	"No-migrant"	147.5860371
"Cacicus_solitarius"	15.11532977	"No-migrant"	737.1800541
"Psarocolius_wagleri"	28.55757987	"No-migrant"	40.01576538
"Psarocolius_atrovirens"	28.52378063	"No-migrant"	11.68192259
"Psarocolius_angustifrons"	30.20403257	"No-migrant"	182.1571814
"Psarocolius_decumanus"	34.64689782	"No-migrant"	869.1793603
"Psarocolius_viridis"	25.16906475	"No-migrant"	411.6890316
"Psarocolius_montezuma"	36.02706919	"No-migrant"	42.15489291
"Amblycercus_holosericeus"	12.5468849	"No-migrant"	96.41012479
"Sturnella_magna"	27.19781675	"No-migrant"	680.6432512
"Sturnella_neglecta"	24.85867558	"Migrant"	926.9576089
"Leistes_superciliaris"	24.88344865	"No-migrant"	579.3919536
"Leistes_militaris"	20.62250461	"No-migrant"	301.4384336
"Leistes_loyca"	25.26422667	"No-migrant"	189.0879582
"Dolichonyx_oryzivorus"	35.8296077	"Migrant"	528.9496644
"Xanthocephalus_xanthocephalus"	29.97002935	"Migrant"	710.1412556
"Icteria_virens"	24.83475489	"Migrant"	722.6443301
"Parkesia_noveboracensis"	25.25654787	"Migrant"	1374.79202
"Parkesia_motacilla"	27.84104886	"Migrant"	392.7879635
"Vermivora_bachmanii"	31.32869493	"Migrant"	88.33522268
"Vermivora_chrysoptera"	27.43822374	"Migrant"	182.9350276
"Vermivora_cyanoptera"	24.86911236	"Migrant"	221.259841
"Protonotaria_citrea"	27.63963337	"Migrant"	336.2714343
"Limnothlypis_swainsonii"	27.73951462	"Migrant"	133.5517565
"Mniotilta_varia"	31.06236578	"Migrant"	934.304161
"Basileuterus_lachrymosus"	21.38083113	"No-migrant"	29.43409396
"Basileuterus_belli"	14.95916761	"No-migrant"	28.628052
"Basileuterus_melanogenys"	17.04296144	"No-migrant"	0.397674937
"Basileuterus_rufifrons"	11.50498152	"No-migrant"	82.94360499
"Basileuterus_culicivorus"	23.85735478	"No-migrant"	44.50388647
"Basileuterus_tristriatus"	17.29153308	"No-migrant"	39.0986842
"Cardellina_pusilla"	24.9033725	"Migrant"	1300.998595
"Cardellina_rubra"	14.79011801	"No-migrant"	20.09842214
"Cardellina_rubrifrons"	24.50063333	"Migrant"	58.35023771
"Cardellina_canadensis"	26.49443513	"Migrant"	520.2013531
"Myioborus_brunniceps"	15.00183256	"No-migrant"	9.986686709
"Myioborus_torquatus"	17.71330491	"No-migrant"	0.43316104
"Myioborus_ornatus"	15.90902212	"No-migrant"	3.235728463
"Myioborus_melanocephalus"	16.12833583	"No-migrant"	15.33205917
"Myioborus_flavivertex"	14.92827398	"No-migrant"	0.436256421
"Myioborus_miniatus"	17.42832572	"No-migrant"	105.6331232
"Myioborus_pictus"	21.54230846	"No-migrant"	101.5488647
"Myiothlypis_bivittata"	10.04336729	"No-migrant"	9.854429116
"Myiothlypis_coronata"	12.42258744	"No-migrant"	34.32919376
"Myiothlypis_conspicillata"	18.68525263	"No-migrant"	0.577453125
"Myiothlypis_cinereicollis"	16.34871955	"No-migrant"	2.972988595
"Myiothlypis_luteoviridis"	16.26751439	"No-migrant"	10.15543219
"Myiothlypis_flaveola"	14.16796146	"No-migrant"	343.949552
"Myiothlypis_leucoblephara"	15.27203628	"No-migrant"	143.5589373
"Myiothlypis_fulvicauda"	19.70702524	"No-migrant"	202.4481849
"Myiothlypis_rivularis"	20.95159671	"No-migrant"	74.16845094
"Myiothlypis_signata"	12.22819869	"No-migrant"	13.80108715
"Setophaga_ruticilla"	28.85814899	"Migrant"	1118.881059
"Setophaga_kirtlandii"	29.71714947	"Migrant"	5.564961794
"Setophaga_fusca"	38.00609648	"Migrant"	396.5542601
"Setophaga_castanea"	32.81341598	"Migrant"	408.5117672
"Setophaga_pensylvanica"	33.43792535	"Migrant"	394.6812166
"Setophaga_striata"	32.08833034	"Migrant"	1332.376701
"Setophaga_petechia"	25.95585636	"Migrant"	2262.877312
"Setophaga_magnolia"	18.49299944	"Migrant"	577.0821297
"Setophaga_adelaidae"	17.97606604	"No-migrant"	0.762211974
"Setophaga_graciae"	28.99609344	"No-migrant"	104.5063625
"Setophaga_nigrescens"	28.35189535	"Migrant"	245.652691
"Setophaga_virens"	30.06593108	"Migrant"	537.5523977
"Setophaga_chrysoparia"	29.56393544	"Migrant"	13.59225425
"Setophaga_occidentalis"	27.34795237	"Migrant"	87.35799347
"Setophaga_townsendi"	30.04790718	"Migrant"	278.8470191
"Setophaga_vitellina"	11.68535613	"No-migrant"	0.024039041
"Setophaga_discolor"	23.04244225	"Migrant"	177.5945443
"Setophaga_palmarum"	23.18038787	"Migrant"	532.4199964
"Setophaga_coronata"	31.345551	"Migrant"	1657.790582
"Setophaga_dominica"	30.42633699	"Migrant"	249.0582475
"Setophaga_pityophila"	28.27100494	"No-migrant"	0.657352054
"Setophaga_pinus"	29.70377079	"Migrant"	234.8766665
"Setophaga_caerulescens"	26.43004303	"Migrant"	164.2945656
"Setophaga_tigrina"	31.0649908	"Migrant"	392.2244108
"Setophaga_pitiayumi"	22.41857626	"No-migrant"	715.4157952
"Setophaga_americana"	27.36682226	"Migrant"	407.728684
"Setophaga_cerulea"	38.30865451	"Migrant"	284.4869353
"Setophaga_citrina"	23.11950463	"Migrant"	265.0855856
"Oreothlypis_superciliosa"	25.31551003	"No-migrant"	34.82775627
"Oreothlypis_gutturalis"	23.95323158	"No-migrant"	0.322206086
"Oporornis_agilis"	33.71545984	"Migrant"	479.862206
"Geothlypis_tolmiei"	23.21574657	"Migrant"	396.0326681
"Geothlypis_philadelphia"	23.19432683	"Migrant"	408.5815157
"Geothlypis_poliocephala"	27.26080129	"No-migrant"	73.02148118
"Geothlypis_semiflava"	16.54483271	"No-migrant"	9.402451746
"Geothlypis_speciosa"	14.17236983	"No-migrant"	0.054532726
"Geothlypis_trichas"	21.34151371	"Migrant"	1664.190868
"Geothlypis_rostrata"	9.571166879	"No-migrant"	0.784257946
"Geothlypis_beldingi"	14.19506599	"No-migrant"	0.344794075
"Geothlypis_formosa"	31.09148252	"Migrant"	293.7236048
"Geothlypis_aequinoctialis"	17.76532529	"No-migrant"	635.9375175
"Helmitheros_vermivorum"	30.87358107	"Migrant"	253.0006411
"Seiurus_aurocapilla"	27.67614631	"Migrant"	772.5606335
