"sp"	"HWI"	"migratory"	"area"	"distances_mid"
"Agelaius_phoeniceus"	26.73058555	"Migrant"	1627.053885	3088.8945303178
"Ammodramus_savannarum"	25.35686662	"Migrant"	798.5695369	2172.54020582507
"Ammospiza_caudacuta"	18.41896949	"Migrant"	15.50847265	1241.79646483557
"Ammospiza_leconteii"	17.69594904	"Migrant"	526.2652941	2403.34521183094
"Ammospiza_maritima"	11.8342235	"Migrant"	20.32624914	1728.47680657511
"Ammospiza_nelsoni"	21.02141382	"Migrant"	338.6746379	2577.78939235327
"Artemisiospiza_belli"	19.6684758	"Migrant"	22.28533424	416.474704938537
"Artemisiospiza_nevadensis"	24.31319017	"Migrant"	169.8045209	995.6918280783
"Calamospiza_melanocorys"	27.80214057	"Migrant"	328.2597938	1858.25133423388
"Calcarius_lapponicus"	34.76012124	"Migrant"	3347.677593	6686.52239878943
"Calcarius_ornatus"	26.99859736	"Migrant"	232.7849014	1795.64600287384
"Calcarius_pictus"	39.47588092	"Migrant"	224.0373902	3742.28303393685
"Cardellina_canadensis"	26.49443513	"Migrant"	520.2013531	5351.4362533028
"Cardellina_pusilla"	24.9033725	"Migrant"	1300.998595	4609.76105023222
"Cardellina_rubrifrons"	24.50063333	"Migrant"	58.35023771	1536.86481301391
"Chondestes_grammacus"	30.75771605	"Migrant"	680.476389	1992.21933242692
"Dolichonyx_oryzivorus"	35.8296077	"Migrant"	528.9496644	8222.6927366884
"Emberiza_cia"	29.82696037	"Migrant"	603.2221172	4491.9297516107
"Emberiza_citrinella"	30.74412287	"Migrant"	2260.114574	2957.13476173237
"Emberiza_elegans"	25.5115996093109	"Migrant"	382.112050139997	1421.61175958925
"Emberiza_fucata"	25.0270926470678	"Migrant"	730.566854375321	3389.9875860338
"Emberiza_hortulana"	35.17102303	"Migrant"	1394.863774	4834.2280882343
"Emberiza_melanocephala"	38.6675605	"Migrant"	272.405355	4129.92840568564
"Emberiza_rutila"	34.07326774	"Migrant"	746.8015348	3955.02439071897
"Emberiza_schoeniclus"	28.4858729195986	"Migrant"	3974.1176777077	4885.94375143689
"Emberiza_spodocephala"	23.06614154	"Migrant"	842.243424	3470.21985439431
"Emberiza_sulphurata"	28.67264447	"Migrant"	30.2131223	623.179054307713
"Euphagus_carolinus"	27.83794459	"Migrant"	1365.638505	3126.76621943411
"Euphagus_cyanocephalus"	30.69656194	"Migrant"	1001.406082	2237.13293326829
"Geothlypis_formosa"	31.09148252	"Migrant"	293.7236048	2590.2807463665
"Geothlypis_philadelphia"	23.19432683	"Migrant"	408.5815157	4853.49127989291
"Geothlypis_tolmiei"	23.21574657	"Migrant"	396.0326681	3888.70250137625
"Geothlypis_trichas"	21.34151371	"Migrant"	1664.190868	2931.17195878425
"Helmitheros_vermivorum"	30.87358107	"Migrant"	253.0006411	2379.41222137324
"Icteria_virens"	24.83475489	"Migrant"	722.6443301	2641.16106317924
"Icterus_abeillei"	27.58543824	"Migrant"	34.36268131	475.36979424645
"Icterus_cucullatus"	25.92597929	"Migrant"	137.4591513	1930.68757310467
"Icterus_galbula"	28.44149523	"Migrant"	735.9657173	3404.68065281938
"Icterus_parisorum"	29.72019638	"Migrant"	171.9597202	739.590936392925
"Icterus_spurius"	25.84932778	"Migrant"	605.8824804	2680.68047829302
"Junco_hyemalis"	26.29793458	"Migrant"	2026.421033	2504.8863919433
"Limnothlypis_swainsonii"	27.73951462	"Migrant"	133.5517565	1571.28265344115
"Melospiza_georgiana"	17.78738746	"Migrant"	1124.342571	2441.34952617737
"Melospiza_lincolnii"	27.28066906	"Migrant"	1379.170475	2804.77787323029
"Melospiza_melodia"	21.81589943	"Migrant"	1517.631879	2354.15368909506
"Mniotilta_varia"	31.06236578	"Migrant"	934.304161	3704.27974002307
"Molothrus_ater"	38.07434113	"Migrant"	1371.786533	3004.22184518632
"Oporornis_agilis"	33.71545984	"Migrant"	479.862206	6656.1935798909
"Parkesia_motacilla"	27.84104886	"Migrant"	392.7879635	2662.11900590258
"Parkesia_noveboracensis"	25.25654787	"Migrant"	1374.79202	5468.59256510604
"Passerculus_sandwichensis"	27.90609385	"Migrant"	2331.852237	3350.97080127539
"Passerella_iliaca"	16.1148209	"Migrant"	1109.206778	3652.8709888125
"Passerina_amoena"	27.40873316	"Migrant"	342.7472378	2239.57728022949
"Passerina_ciris"	25.1829262	"Migrant"	238.0890765	1740.75219025522
"Passerina_cyanea"	32.5724277	"Migrant"	717.2141274	2605.77316038667
"Passerina_versicolor"	19.53621032	"Migrant"	137.7115089	776.739260393146
"Peucaea_cassinii"	17.73643518	"Migrant"	216.2661221	1263.92788713645
"Pheucticus_ludovicianus"	33.66994065	"Migrant"	661.0029754	4353.29205421317
"Pheucticus_melanocephalus"	32.71922782	"Migrant"	504.1989574	1870.0994589412
"Pipilo_chlorurus"	16.09115358	"Migrant"	386.3700959	1439.1949824255
"Pipilo_erythrophthalmus"	16.34448158	"Migrant"	360.5566241	1563.91211234289
"Piranga_ludoviciana"	32.40687074	"Migrant"	538.3959227	4000.1267510203
"Piranga_olivacea"	33.26166538	"Migrant"	465.9207465	4907.97558346282
"Piranga_rubra"	32.61272841	"Migrant"	728.08471	3494.24961443339
"Plectrophenax_hyperboreus"	36.6501349458762	"Migrant"	14.1407668657744	294.160536229181
"Plectrophenax_nivalis"	39.47588092	"Migrant"	3994.486215	5880.8616554357
"Pooecetes_gramineus"	27.67929335	"Migrant"	1072.167096	1926.81246697358
"Protonotaria_citrea"	27.63963337	"Migrant"	336.2714343	2464.41550514196
"Quiscalus_quiscula"	27.73330168	"Migrant"	969.2311255	2075.91648010232
"Rhynchophanes_mccownii"	34.80552551	"Migrant"	158.9574759	1876.91240051469
"Seiurus_aurocapilla"	27.67614631	"Migrant"	772.5606335	3393.44825973927
"Setophaga_americana"	27.36682226	"Migrant"	407.728684	2326.30220033618
"Setophaga_caerulescens"	26.43004303	"Migrant"	164.2945656	2619.65601774453
"Setophaga_castanea"	32.81341598	"Migrant"	408.5117672	5274.28417230069
"Setophaga_cerulea"	38.30865451	"Migrant"	284.4869353	4531.90623202725
"Setophaga_chrysoparia"	29.56393544	"Migrant"	13.59225425	1961.33560623012
"Setophaga_citrina"	23.11950463	"Migrant"	265.0855856	2329.87962646598
"Setophaga_coronata"	31.345551	"Migrant"	1657.790582	3301.60361233825
"Setophaga_discolor"	23.04244225	"Migrant"	177.5945443	1904.96429727175
"Setophaga_dominica"	30.42633699	"Migrant"	249.0582475	1944.14010547156
"Setophaga_fusca"	38.00609648	"Migrant"	396.5542601	5031.97303008319
"Setophaga_kirtlandii"	29.71714947	"Migrant"	5.564961794	2585.01759114402
"Setophaga_magnolia"	18.49299944	"Migrant"	577.0821297	4089.59448923652
"Setophaga_nigrescens"	28.35189535	"Migrant"	245.652691	2379.41012784577
"Setophaga_occidentalis"	27.34795237	"Migrant"	87.35799347	3134.95381074858
"Setophaga_palmarum"	23.18038787	"Migrant"	532.4199964	3263.96926382422
"Setophaga_pensylvanica"	33.43792535	"Migrant"	394.6812166	4028.16420979265
"Setophaga_petechia"	25.95585636	"Migrant"	2262.877312	6844.8023191485
"Setophaga_pinus"	29.70377079	"Migrant"	234.8766665	1609.32386946935
"Setophaga_ruticilla"	28.85814899	"Migrant"	1118.881059	4980.64655538327
"Setophaga_striata"	32.08833034	"Migrant"	1332.376701	7457.67253327178
"Setophaga_tigrina"	31.0649908	"Migrant"	392.2244108	3986.30112157942
"Setophaga_townsendi"	30.04790718	"Migrant"	278.8470191	4702.89682311903
"Setophaga_virens"	30.06593108	"Migrant"	537.5523977	3641.41748394998
"Spiza_americana"	32.48491753	"Migrant"	492.9368137	3804.54773187956
"Spizella_atrogularis"	18.29012496	"Migrant"	126.5243093	954.341995321889
"Spizella_breweri"	21.95874578	"Migrant"	500.0832699	2281.80834181747
"Spizella_pallida"	21.72909371	"Migrant"	526.4892037	3103.3969837494
"Spizella_passerina"	29.3010305	"Migrant"	1674.87771	2715.39972822845
"Spizella_pusilla"	19.51615003	"Migrant"	488.7803433	1512.49330142787
"Sporophila_caerulescens"	21.85335807	"Migrant"	696.4794391	2634.88413320232
"Sporophila_hypochroma"	23.59242761	"Migrant"	139.23661	1036.6573620913
"Sporophila_lineola"	22.66880242	"Migrant"	1001.462355	2028.06451541188
"Sturnella_neglecta"	24.85867558	"Migrant"	926.9576089	2070.01173707211
"Vermivora_bachmanii"	31.32869493	"Migrant"	88.33522268	1572.0114000702
"Vermivora_chrysoptera"	27.43822374	"Migrant"	182.9350276	3795.51534048818
"Vermivora_cyanoptera"	24.86911236	"Migrant"	221.259841	2695.60049490062
"Xanthocephalus_xanthocephalus"	29.97002935	"Migrant"	710.1412556	2252.72437438903
"Zonotrichia_albicollis"	19.31034483	"Migrant"	1158.771096	2138.46462245552
"Zonotrichia_atricapilla"	22.83469354	"Migrant"	352.2275218	2713.10385247797
"Zonotrichia_leucophrys"	25.50021062	"Migrant"	1744.123137	3058.3700323944
"Zonotrichia_querula"	24.87453446	"Migrant"	436.3968529	3210.31949412478
