category,English name,scientific_name,genus,family,eBird species group,order,range
species,Lapland Longspur,Calcarius lapponicus,Calcarius,Calcariidae,Longspurs and Snow Buntings,Passeriformes,
species,Chestnut-collared Longspur,Calcarius ornatus,Calcarius,Calcariidae,Longspurs and Snow Buntings,Passeriformes,Prairies of central North America; > sw US to n Mexico
species,Smith's Longspur,Calcarius pictus,Calcarius,Calcariidae,Longspurs and Snow Buntings,Passeriformes,Breeds Alaska and w Canada; > in s-central US
species,McCown's Longspur,Rhynchophanes mccownii,Rhynchophanes,Calcariidae,Longspurs and Snow Buntings,Passeriformes,Breeds w Canada to nw US; > to nw Mexico
species,Snow Bunting,Plectrophenax nivalis,Plectrophenax,Calcariidae,Longspurs and Snow Buntings,Passeriformes,
species,McKay's Bunting,Plectrophenax hyperboreus,Plectrophenax,Calcariidae,Longspurs and Snow Buntings,Passeriformes,Islands in Bering Sea; > coastal Alaska and Aleutian Islands
species,Rosy Thrush-Tanager,Rhodinocichla rosea,Rhodinocichla,Rhodinocichlidae,Thrush-Tanager,Passeriformes,
species,Brown-rumped Bunting,Emberiza affinis,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Crested Bunting,Emberiza lathami,Emberiza,Emberizidae,Old World Buntings,Passeriformes,"N Pakistan to se Tibet, s China, Laos and n Vietnam (Tonkin)"
species,Black-headed Bunting,Emberiza melanocephala,Emberiza,Emberizidae,Old World Buntings,Passeriformes,S-central Eurasia; > to India
species,Red-headed Bunting,Emberiza bruniceps,Emberiza,Emberizidae,Old World Buntings,Passeriformes,S-central Eurasia; > in Indian subcontinent
species,Corn Bunting,Emberiza calandra,Emberiza,Emberizidae,Old World Buntings,Passeriformes,Grasslands and scrub of Palearctic region
species,Chestnut-eared Bunting,Emberiza fucata,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Tibetan Bunting,Emberiza koslowi,Emberiza,Emberizidae,Old World Buntings,Passeriformes,"W China (borders of arid Tibet, sw Qinghai and Sichuan)"
species,Rufous-backed Bunting,Emberiza jankowskii,Emberiza,Emberizidae,Old World Buntings,Passeriformes,NE China and extreme ne Korea; > e-central China
species,Rock Bunting,Emberiza cia,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Godlewski's Bunting,Emberiza godlewskii,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Meadow Bunting,Emberiza cioides,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Cirl Bunting,Emberiza cirlus,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Chestnut-breasted Bunting,Emberiza stewarti,Emberiza,Emberizidae,Old World Buntings,Passeriformes,"S Turkmenistan to n Afghanistan, n Pakistan and nw India"
species,Yellowhammer,Emberiza citrinella,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Pine Bunting,Emberiza leucocephalos,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Gray-necked Bunting,Emberiza buchanani,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Cinereous Bunting,Emberiza cineracea,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Ortolan Bunting,Emberiza hortulana,Emberiza,Emberizidae,Old World Buntings,Passeriformes,"W Palearctic; > Mediterranean environs, Arabia, Africa"
species,Cretzschmar's Bunting,Emberiza caesia,Emberiza,Emberizidae,Old World Buntings,Passeriformes,S Europe to Asia Minor; > to ne Africa and Arabia
species,Cabanis's Bunting,Emberiza cabanisi,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Golden-breasted Bunting,Emberiza flaviventris,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Somali Bunting,Emberiza poliopleura,Emberiza,Emberizidae,Old World Buntings,Passeriformes,"Sudan to Ethiopia, Somalia, Uganda, Kenya and ne Tanzania"
species,Cape Bunting,Emberiza capensis,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Vincent's Bunting,Emberiza vincenti,Emberiza,Emberizidae,Old World Buntings,Passeriformes,Central Malawi to adjacent n Mozambique and e Zambia
species,Lark-like Bunting,Emberiza impetuani,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Socotra Bunting,Emberiza socotrana,Emberiza,Emberizidae,Old World Buntings,Passeriformes,Highlands of Socotra I.
species,Cinnamon-breasted Bunting,Emberiza tahapisi,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Gosling's Bunting,Emberiza goslingi,Emberiza,Emberizidae,Old World Buntings,Passeriformes,"southern Mauritania to southern Senegal, east to southeastern Chad, northeastern Central African Republic, southwestern Sudan, and northwestern South Sudan; possibly also extreme northeastern Democratic Republic of the Congo"
species,House Bunting,Emberiza sahari,Emberiza,Emberizidae,Old World Buntings,Passeriformes,"Morocco east to nw Libya, s to Senegal, s Mali, Niger and ne Chad"
species,Striolated Bunting,Emberiza striolata,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Slaty Bunting,Emberiza siemsseni,Emberiza,Emberizidae,Old World Buntings,Passeriformes,"Mountains of central China (s Shaanxi, se Gansu and ne Sichuan)"
species,Yellow-throated Bunting,Emberiza elegans,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Ochre-rumped Bunting,Emberiza yessoensis,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Pallas's Bunting,Emberiza pallasi,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Reed Bunting,Emberiza schoeniclus,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Yellow-breasted Bunting,Emberiza aureola,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Little Bunting,Emberiza pusilla,Emberiza,Emberizidae,Old World Buntings,Passeriformes,"Taiga of n Eurasia; > to India, SE Asia and Philippines"
species,Rustic Bunting,Emberiza rustica,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Yellow Bunting,Emberiza sulphurata,Emberiza,Emberizidae,Old World Buntings,Passeriformes,"Honshu (Japan); > e China, n Philippines and Taiwan"
species,Black-faced Bunting,Emberiza spodocephala,Emberiza,Emberizidae,Old World Buntings,Passeriformes,
species,Chestnut Bunting,Emberiza rutila,Emberiza,Emberizidae,Old World Buntings,Passeriformes,Siberia to n Mongolia and ne China; > to India and SE Asia
species,Yellow-browed Bunting,Emberiza chrysophrys,Emberiza,Emberizidae,Old World Buntings,Passeriformes,Taiga of central Siberia; > in central and se China
species,Tristram's Bunting,Emberiza tristrami,Emberiza,Emberizidae,Old World Buntings,Passeriformes,Siberia to ne China; > to s China and n Thailand
species,Gray Bunting,Emberiza variabilis,Emberiza,Emberizidae,Old World Buntings,Passeriformes,"S Kamchatka, Sakhalin, Kuril Is. and n Japan; > to Ryukyu Is."
species,Tanager Finch,Oreothraupis arremonops,Oreothraupis,Passerellidae,New World Sparrows,Passeriformes,Pacific slope of w Andes of Colombia and nw Ecuador
species,Yellow-throated Chlorospingus,Chlorospingus flavigularis,Chlorospingus,Passerellidae,New World Sparrows,Passeriformes,
species,Short-billed Chlorospingus,Chlorospingus parvirostris,Chlorospingus,Passerellidae,New World Sparrows,Passeriformes,
species,Ashy-throated Chlorospingus,Chlorospingus canigularis,Chlorospingus,Passerellidae,New World Sparrows,Passeriformes,
species,Sooty-capped Chlorospingus,Chlorospingus pileatus,Chlorospingus,Passerellidae,New World Sparrows,Passeriformes,
species,Common Chlorospingus,Chlorospingus flavopectus,Chlorospingus,Passerellidae,New World Sparrows,Passeriformes,
species,Tacarcuna Chlorospingus,Chlorospingus tacarcunae,Chlorospingus,Passerellidae,New World Sparrows,Passeriformes,Montane forests of e Panama and extreme nw Colombia
species,Pirre Chlorospingus,Chlorospingus inornatus,Chlorospingus,Passerellidae,New World Sparrows,Passeriformes,Humid montane forests of e Panama
species,Dusky Chlorospingus,Chlorospingus semifuscus,Chlorospingus,Passerellidae,New World Sparrows,Passeriformes,
species,Yellow-green Chlorospingus,Chlorospingus flavovirens,Chlorospingus,Passerellidae,New World Sparrows,Passeriformes,Locally in humid Western Andes of Colombia and nw Ecuador
species,Tumbes Sparrow,Rhynchospiza stolzmanni,Rhynchospiza,Passerellidae,New World Sparrows,Passeriformes,Arid littoral of sw Ecuador and nw Peru
species,Stripe-capped Sparrow,Rhynchospiza strigiceps,Rhynchospiza,Passerellidae,New World Sparrows,Passeriformes,
